1669219312.958927 -72
1669219313.0984504 -73
1669219313.2434359 -70
1669219313.3738713 -77
1669219313.509231 -70
1669219313.6501238 -74
1669219313.778144 -80
1669219313.91166 -72
1669219314.0503433 -75
1669219314.1931865 -75
1669219314.3402584 -75
1669219314.4714692 -79
1669219314.6112187 -74
1669219314.7500162 -78
1669219314.8844879 -80
1669219315.022708 -82
1669219315.1604917 -78
1669219315.291892 -75
1669219315.429889 -80
1669219315.5672228 -84
1669219315.7076602 -78
1669219315.8550649 -80
1669219315.9905045 -76
1669219316.1311805 -81
1669219316.2625883 -79
1669219316.4009526 -79
1669219316.535194 -82
1669219316.6721308 -81
1669219316.8069115 -83
1669219316.950777 -80
1669219317.0824804 -81
1669219317.2253463 -88
1669219317.3730226 -82
1669219317.5285046 -82
1669219317.6641011 -85
1669219317.8032303 -86
1669219317.9541938 -87
1669219318.0998917 -86
1669219318.2475054 -84
1669219318.3738072 -88
1669219318.5145223 -87
1669219318.6569996 -87
1669219318.7938123 -87
1669219318.9324584 -88
1669219319.0663757 -87
1669219319.1960104 -89
1669219319.3317766 -88
1669219319.4712198 -80
1669219319.6092277 -87
1669219319.751941 -88
1669219319.881859 -86
1669219320.0224993 -89
1669219320.172458 -84
1669219320.323942 -84
1669219320.4834769 -84
1669219320.6304853 -84
1669219320.7839925 -87
1669219320.9279315 -89
1669219324.0733755 -77
1669219324.211819 -79
1669219324.3510587 -79
1669219324.4830036 -80
1669219324.623388 -78
1669219324.7606356 -81
1669219324.8937788 -78
1669219325.0352957 -78
1669219325.1699207 -74
1669219325.3042722 -76
1669219325.4381583 -74
1669219325.5712757 -77
1669219325.7055902 -70
1669219325.8433447 -79
1669219325.9750996 -73
1669219326.110832 -73
1669219326.250931 -73
1669219326.381479 -73
1669219326.5179331 -72
1669219326.6671958 -69
1669219326.811053 -71
1669219326.9539642 -73
1669219327.0884662 -73
1669219327.2246435 -70
1669219327.3753083 -71
1669219327.5171032 -68
1669219327.658689 -70
1669219327.7916205 -68
1669219327.9331195 -65
1669219328.0689878 -68
1669219328.2004724 -67
1669219328.3334386 -66
1669219328.4692326 -68
1669219328.6054204 -65
1669219328.7581348 -64
1669219328.9038568 -59
1669219329.0444927 -65
1669219329.17087 -65
1669219329.2988262 -58
1669219329.4433677 -62
1669219329.5712495 -61
1669219329.6990802 -66
1669219329.8530622 -60
1669219329.9919357 -63
1669219330.1122212 -65
1669219330.2301373 -63
1669219330.3483412 -62
1669219330.4671285 -60
1669219330.5853739 -59
1669219330.7037058 -59
1669219330.8219385 -62
1669219330.9401631 -62
1669219331.058348 -59
1669219331.1783855 -63
1669219331.2973123 -63
1669219331.4155216 -62
1669219331.5336854 -58
1669219331.652575 -59
